% parallel ∥
Hardsigncyrillic Ъ
Hbar Ħ
Hbbb ℍ
Hbrevebelow Ḫ
Hcal ℋ
Hcedilla Ḩ
Hcircle Ⓗ
Hcircumflex Ĥ
Hdieresis Ḧ
Hdotaccent Ḣ
Hdotbelow Ḥ
Hmonospace Ｈ
Hoarmenian Հ
Horicoptic Ϩ
Hsmall 
Hungarumlaut 
Hungarumlautsmall 
Hzsquare ㎐
I I
I1 𝕀
IAcyrillic Я
IJ Ĳ
IUcyrillic Ю
Iacute Í
Iacutesmall 
Ibar Ɨ
Ibbb 𝕀
Ibreve Ĭ
Ical ℐ
Icaron Ǐ
Icircle Ⓘ
Icircumflex Î
Icircumflexsmall 
Icyrillic І
Idblgrave Ȉ
Idieresis Ï
Idieresisacute Ḯ
Idieresiscyrillic Ӥ
Idieresissmall 
Idot İ
Idotaccent İ
Idotbelow Ị
Iebrevecyrillic Ӗ
Iecyrillic Е
Ifractur ℑ
Ifraktur ℑ
Igrave Ì
Igravesmall 
Ihookabove Ỉ
Iicyrillic И
Iinvertedbreve Ȋ
Iishortcyrillic Й
Imacron Ī
Imacroncyrillic Ӣ
Imonospace Ｉ
Iniarmenian Ի
Iocyrillic Ё
Iogonek Į
Iota Ι
Iotaafrican Ɩ
Iotadieresis Ϊ
Iotalatin Ɩ
Iotatonos Ί
Ismall 
Istroke Ɨ
Itilde Ĩ
Itildebelow Ḭ
Izhitsacyrillic Ѵ
Izhitsadblgravecyrillic Ѷ
J J
J1 𝕁
Jaarmenian Ձ
Jbbb 𝕁
Jcal 𝒥
Jcircle Ⓙ
Jcircumflex Ĵ
Jecyrillic Ј
Jheharmenian Ջ
Jmonospace Ｊ
Jsmall 
K K
K1 𝕂
KBsquare ㎅
KKsquare ㏍
Kabashkircyrillic Ҡ
Kacute Ḱ
Kacyrillic К
Kadescendercyrillic Қ
Kahookcyrillic Ӄ
Kappa Κ
Kastrokecyrillic Ҟ
Kaverticalstrokecyrillic Ҝ
Kbbb 𝕂
Kbreton Ꝃ
Kcal 𝒦
Kcaron Ǩ
Kcedilla Ķ
Kcircle Ⓚ
Kcommaaccent Ķ
Kdotbelow Ḳ
Keharmenian Ք
Kenarmenian Կ
Khacyrillic Х
Kheicoptic Ϧ
Khook Ƙ
Kjecyrillic Ќ
Klinebelow Ḵ
Kmonospace Ｋ
Koppa Ϟ
Koppaarchaic Ϙ
Koppacyrillic Ҁ
Koppagreek Ϟ
Ksi Ξ
Ksicyrillic Ѯ
Ksmall 
L L
L1 𝕃
LJ Ǉ
LL 
Lacute Ĺ
Lambda Λ
Lbbb 𝕃
Lcal ℒ
Lcaron Ľ
Lcatalan Ŀ
Lcedilla Ļ
Lcircle Ⓛ
Lcircumflexbelow Ḽ
Lcommaaccent Ļ
Ldot Ŀ
Ldotaccent Ŀ
Ldotbelow Ḷ
Ldotbelowmacron Ḹ
Lefta ◀
Leftrightline ═
LinearAI ㏑
Liwnarmenian Լ
Lj ǈ
Ljecyrillic Љ
Llinebelow Ḻ
Lmonospace Ｌ
Lslash Ł
Lslashsmall 
Lsmall 
M M
M1 𝕄
MBsquare ㎆
Macron ¯
Macronsmall 
Macute Ḿ
Mbbb 𝕄
Mcal ℳ
Mcircle Ⓜ
Mdotaccent Ṁ
Mdotbelow Ṃ
Menarmenian Մ
Mmonospace Ｍ
Msmall 
Mturned Ɯ
Mu Μ
N N
N1 ℕ
NJ Ǌ
Nacute Ń
Nbbb ℕ
Ncal 𝒩
Ncaron Ň
Ncedilla Ņ
Ncircle Ⓝ
Ncircumflexbelow Ṋ
Ncommaaccent Ņ
Ndotaccent Ṅ
Ndotbelow Ṇ
Neswline //
Ng Ŋ
Nhook Ɲ
Nhookleft Ɲ
Nineroman Ⅸ
Nj ǋ
Njecyrillic Њ
Nlinebelow Ṉ
Nmonospace Ｎ
Nowarmenian Ն
Nsmall 
Ntilde Ñ
Ntildesmall 
Nu Ν
Numero №
Nwseline ⑊
O O
O1 𝕆
OE Œ
OEsmall 
OI Ƣ
Oacute Ó
Oacutesmall 
Obar Ɵ
Obarredcyrillic Ө
Obarreddieresiscyrillic Ӫ
Obbb 𝕆
Obreve Ŏ
Ocal 𝒪
Ocaron Ǒ
Ocenteredtilde Ɵ
Ocircle Ⓞ
Ocircumflex Ô
Ocircumflexacute Ố
Ocircumflexdotbelow Ộ
Ocircumflexgrave Ồ
Ocircumflexhookabove Ổ
Ocircumflexsmall 
Ocircumflextilde Ỗ
Ocyrillic О
Odblacute Ő
Odblgrave Ȍ
Odieresis Ö
Odieresiscyrillic Ӧ
Odieresissmall 
Odotbelow Ọ
Ogonek ˛
Ogoneksmall 
Ograve Ò
Ogravesmall 
Oharmenian Օ
Ohm Ω
Ohookabove Ỏ
Ohorn Ơ
Ohornacute Ớ
Ohorndotbelow Ợ
Ohorngrave Ờ
Ohornhookabove Ở
Ohorntilde Ỡ
Ohungarumlaut Ő
Oi Ƣ
Oinvertedbreve Ȏ
Omacron Ō
Omacronacute Ṓ
Omacrongrave Ṑ
Omega Ω
Omegacyrillic Ѡ
Omegagreek Ω
Omegainv ℧
Omegaroundcyrillic Ѻ
Omegatitlocyrillic Ѽ
Omegatonos Ώ
Omicron Ο
Omicrontonos Ό
Omonospace Ｏ
Oneroman Ⅰ
Oogonek Ǫ
Oogonekmacron Ǭ
Oopen Ɔ
Oslash Ø
Oslashacute Ǿ
Oslashsmall 
Osmall 
Ostrokeacute Ǿ
Otcyrillic Ѿ
Otilde Õ
Otildeacute Ṍ
Otildedieresis Ṏ
Otildesmall 
P P
P1 ℙ
Pacute Ṕ
Pbbb ℙ
Pcal 𝒫
Pcircle Ⓟ
Pdotaccent Ṗ
Pecyrillic П
Peharmenian Պ
Pemiddlehookcyrillic Ҧ
Phi Φ
Phook Ƥ
Pi Π
Piwrarmenian Փ
Pmonospace Ｐ
Psi Ψ
Psicyrillic Ѱ
Psmall 
Q Q
Q1 ℚ
Qbbb ℚ
Qcal 𝒬
Qcircle Ⓠ
Qmonospace Ｑ
Qsmall 
Qu Qu
R R
R1 ℝ
Raarmenian Ռ
Racute Ŕ
Rbbb ℝ
Rcal ℛ
Rcaron Ř
Rcedilla Ŗ
Rcircle Ⓡ
Rcommaaccent Ŗ
Rdblgrave Ȑ
Rdotaccent Ṙ
Rdotbelow Ṛ
Rdotbelowmacron Ṝ
Reharmenian Ր
Return ⏎
Rfractur ℜ
Rfraktur ℜ
Rho Ρ
Righta ▶
Ring ˚
Ringsmall 
Rinvertedbreve Ȓ
Rlinebelow Ṟ
Rmonospace Ｒ
Rsmall 
Rsmallinverted ʁ
Rsmallinvertedsuperior ʶ
Rx ℞
S S
S1 𝕊
SF010000 ┌
SF020000 └
SF030000 ┐
SF040000 ┘
SF050000 ┼
SF060000 ┬
SF070000 ┴
SF080000 ├
SF090000 ┤
SF100000 ─
SF110000 │
SF190000 ╡
SF200000 ╢
SF210000 ╖
SF220000 ╕
SF230000 ╣
SF240000 ║
SF250000 ╗
SF260000 ╝
SF270000 ╜
SF280000 ╛
SF360000 ╞
SF370000 ╟
SF380000 ╚
SF390000 ╔
SF400000 ╩
SF410000 ╦
SF420000 ╠
SF430000 ═
SF440000 ╬
SF450000 ╧
SF460000 ╨
SF470000 ╤
SF480000 ╥
SF490000 ╙
SF500000 ╘
SF510000 ╒
SF520000 ╓
SF530000 ╫
SF540000 ╪
SS SS
Sacute Ś
Sacutedotaccent Ṥ
Sampi Ϡ
Sampigreek Ϡ
Sbbb 𝕊
Scal 𝒮
Scaron Š
Scarondotaccent Ṧ
Scaronsmall 
Scedilla Ş
Schwa Ə
Schwacyril Ә
Schwacyrillic Ә
Schwadieresiscyrillic Ӛ
Scircle Ⓢ
Scircumflex Ŝ
Scommaaccent Ș
Sdotaccent Ṡ
Sdotbelow Ṣ
Sdotbelowdotaccent Ṩ
Seharmenian Ս
Sevenroman Ⅶ
Shaarmenian Շ
Shacyrillic Ш
Shchacyrillic Щ
Sheicoptic Ϣ
Shhacyrillic Һ
Shimacoptic Ϭ
Sigma Σ
Sixroman Ⅵ
Smonospace Ｓ
Softsigncyrillic Ь
Ssmall 
Stigma Ϛ
Stigmagreek Ϛ
T T
T1 𝕋
TZ TZ
Tau Τ
Tbar Ŧ
Tbbb 𝕋
Tcal 𝒯
Tcaron Ť
Tcedilla Ţ
Tcircle Ⓣ
Tcircumflexbelow Ṱ
Tcommaaccent Ţ
Tdotaccent Ṫ
Tdotbelow Ṭ
Tecyrillic Т
Tedescendercyrillic Ҭ
Tenroman Ⅹ
Tetsecyrillic Ҵ
Th Th
Theta Θ
Thook Ƭ
Thorn Þ
Thornsmall 
Threeroman Ⅲ
Tilde ~
Tildesmall 
Tiwnarmenian Տ
Tlinebelow Ṯ
Tmonospace Ｔ
Toarmenian Թ
Togonek T̨
Tonefive Ƽ
Tonesix Ƅ
Tonetwo Ƨ
Tretroflexhook Ʈ
Trthook Ʈ
Tsecyrillic Ц
Tshecyrillic Ћ
Tsmall 
Twelveroman Ⅻ
Tworoman Ⅱ
U U
U1 𝕌
Uacute Ú
Uacutesmall 
Ubbb 𝕌
Ubreve Ŭ
Ucal 𝒰
Ucaron Ǔ
Ucircle Ⓤ
Ucircumflex Û
Ucircumflexbelow Ṷ
Ucircumflexsmall 
Ucyrillic У
Udblacute Ű
Udblgrave Ȕ
Udieresis Ü
Udieresisacute Ǘ
Udieresisbelow Ṳ
Udieresiscaron Ǚ
Udieresiscyrillic Ӱ
Udieresisgrave Ǜ
Udieresismacron Ǖ
Udieresissmall 
Udotbelow Ụ
Ugrave Ù
Ugravesmall 
Uhookabove Ủ
Uhorn Ư
Uhornacute Ứ
Uhorndotbelow Ự
Uhorngrave Ừ
Uhornhookabove Ử
Uhorntilde Ữ
Uhungarumlaut Ű
Uhungarumlautcyrillic Ӳ
Uinvertedbreve Ȗ
Ukcyrillic Ѹ
Umacron Ū
Umacroncyrillic Ӯ
Umacrondieresis Ṻ
Umicron Υ
Umonospace Ｕ
Uogonek Ų
Upa ▲
Upsilon Υ
Upsilon1 ϒ
Upsilonacutehooksymbolgreek ϓ
Upsilonafrican Ʊ
Upsilondieresis Ϋ
Upsilondieresishooksymbolgreek ϔ
Upsilonhooksymbol ϒ
Upsilonlatin Ʊ
Upsilontonos Ύ
Uring Ů
Ushortcyrillic Ў
Usmall 
Ustraightcyrillic Ү
Ustraightstrokecyrillic Ұ
Utilde Ũ
Utildeacute Ṹ
Utildebelow Ṵ
V V
V1 𝕍
Vbbb 𝕍
Vcal 𝒱
Vcircle Ⓥ
Vcursive Ʋ
Vdotbelow Ṿ
Vecyrillic В
Vewarmenian Վ
Vhook Ʋ
Vmonospace Ｖ
Voarmenian Ո
Vsmall 
Vtilde Ṽ
W W
W1 𝕎
Wacute Ẃ
Wbbb 𝕎
Wcal 𝒲
Wcircle Ⓦ
Wcircumflex Ŵ
Wdieresis Ẅ
Wdotaccent Ẇ
Wdotbelow Ẉ
Wgrave Ẁ
Wmonospace Ｗ
Wsmall 
X X
X1 𝕏
Xbbb 𝕏
Xcal 𝒳
Xcircle Ⓧ
Xdieresis Ẍ
Xdotaccent Ẋ
Xeharmenian Խ
Xi Ξ
Xi1 Ξ
Xmonospace Ｘ
Xsmall 
Y Y
Y1 𝕐
YR Ʀ
Yacute Ý
Yacutesmall 
Yalt Y
Yatcyrillic Ѣ
Ybbb 𝕐
Ycal 𝒴
Ycircle Ⓨ
Ycircumflex Ŷ
Ydieresis Ÿ
Ydieresissmall 
Ydotaccent Ẏ
Ydotbelow Ỵ
Yen ¥
Yericyrillic Ы
Yerudieresiscyrillic Ӹ
Ygrave Ỳ
Yhook Ƴ
Yhookabove Ỷ
Yiarmenian Յ
Yicyrillic Ї
Yiwnarmenian Ւ
Ymonospace Ｙ
Yogh Ȝ
Ysmall 
Ytilde Ỹ
Yusbigcyrillic Ѫ
Yusbigiotifiedcyrillic Ѭ
Yuslittlecyrillic Ѧ
Yuslittleiotifiedcyrillic Ѩ
Z Z
Z1 ℤ
Zaarmenian Զ
Zacute Ź
Zalt Z
Zbar Ƶ
Zbbb ℤ
Zcal 𝒵
Zcaron Ž
Zcaronsmall 
Zcircle Ⓩ
Zcircumflex Ẑ
Zdot Ż
Zdotaccent Ż
Zdotbelow Ẓ
Ze З
Zecyrillic З
Zedescendercyrillic Ҙ
Zedieresiscyrillic Ӟ
Zeta Ζ
Zhearmenian Ժ
Zhebrevecyrillic Ӂ
Zhecyrillic Ж
Zhedescendercyrillic Җ
Zhedieresiscyrillic Ӝ
Zlinebelow Ẕ
Zmonospace Ｚ
Zsmall 
Zstroke Ƶ
a a
a1 ✁
a10 ✡
a100 ❞
a101 ❡
a102 ❢
a103 ❣
a104 ❤
a105 ✐
a106 ❥
a107 ❦
a108 ❧
a109 ♠
a11 ☛
a110 ♥
a111 ♦
a112 ♣
a117 ✉
a118 ✈
a119 ✇
a12 ☞
a120 ①
a121 ②
a122 ③
a123 ④
a124 ⑤
a125 ⑥
a126 ⑦
a127 ⑧
a128 ⑨
a129 ⑩
a13 ✌
a130 ❶
a131 ❷
a132 ❸
a133 ❹
a134 ❺
a135 ❻
a136 ❼
a137 ❽
a138 ❾
a139 ❿
a14 ✍
a140 ➀
a141 ➁
a142 ➂
a143 ➃
a144 ➄
a145 ➅
a146 ➆
a147 ➇
a148 ➈
a149 ➉
a15 ✎
a150 ➊
a151 ➋
a152 ➌
a153 ➍
a154 ➎
a155 ➏
a156 ➐
a157 ➑
a158 ➒
a159 ➓
a16 ✏
a160 ➔
a161 →
a162 ➣
a163 ↔
a164 ↕
a165 ➙
a166 ➛
a167 ➜
a168 ➝
a169 ➞
a17 ✑
a170 ➟
a171 ➠
a172 ➡
a173 ➢
a174 ➤
a175 ➥
a176 ➦
a177 ➧
a178 ➨
a179 ➩
a18 ✒
a180 ➫
a181 ➭
a182 ➯
a183 ➲
a184 ➳
a185 ➵
a186 ➸
a187 ➺
a188 ➻
a189 ➼
a19 ✓
a190 ➽
a191 ➾
a192 ➚
a193 ➪
a194 ➶
a195 ➹
a196 ➘
a197 ➴
a198 ➷
a199 ➬
a2 ✂
a20 ✔
a200 ➮
a201 ➱
a202 ✃
a203 ❐
a204 ❒
a205 ❮
a206 ❰
a21 ✕
a22 ✖
a23 ✗
a24 ✘
a25 ✙
a26 ✚
a27 ✛
a28 ✜
a29 ✢
a3 ✄
a30 ✣
a31 ✤
a32 ✥
a33 ✦
a34 ✧
a35 ★
a36 ✩
a37 ✪
a38 ✫
a39 ✬
a4 ☎
a40 ✭
a41 ✮
a42 ✯
a43 ✰
a44 ✱
a45 ✲
a46 ✳
a47 ✴
a48 ✵
a49 ✶
a5 ✆
a50 ✷
a51 ✸
a52 ✹
a53 ✺
a54 ✻
a55 ✼
a56 ✽
a57 ✾
a58 ✿
a59 ❀
a6 ✝
a60 ❁
a61 ❂
a62 ❃
a63 ❄
a64 ❅
a65 ❆
a66 ❇
a67 ❈
a68 ❉
a69 ❊
a7 ✞
a70 ❋
a71 ●
a72 ❍
a73 ■
a74 ❏
a75 ❑
a76 ▲
a77 ▼
a78 ◆
a79 ❖
a8 ✟
a81 ◗
a82 ❘
a83 ❙
a84 ❚
a85 ❯
a86 ❱
a87 ❲
a88 ❳
a89 ❨
a9 ✠
a90 ❩
a91 ❬
a92 ❭
a93 ❪
a94 ❫
a95 ❴
a96 ❵
a97 ❛
a98 ❜
a99 ❝
aabengali আ
aacute á
aadeva आ
aagujarati આ
aagurmukhi ਆ
aamatragurmukhi ਾ
aarusquare ㌃
aavowelsignbengali া
aavowelsigndeva ा
aavowelsigngujarati ા
abbb 𝕒
abbreviationmarkarmenian ՟
abbreviationsigndeva ॰
abengali অ
abopomofo ㄚ
abreve ă
abreveacute ắ
abrevecyrillic ӑ
abrevedotbelow ặ
abrevegrave ằ
abrevehookabove ẳ
abrevetilde ẵ
acaron ǎ
acircle ⓐ
acircumflex â
acircumflexacute ấ
acircumflexdotbelow ậ
acircumflexgrave ầ
acircumflexhookabove ẩ
acircumflextilde ẫ
acute ´
acutebelowcmb ̗
acutebelowcomb  ̗
acutecmb ́
acutecomb ́
acutedblnosp  ̋
acutedeva ॔
acutelowmod ˏ
acutenosp ´
acutetonecmb ́
acyrillic а
adblgrave ȁ
addakgurmukhi ੱ
adeva अ
adieresis ä
adieresiscyrillic ӓ
adieresismacron ǟ
adjust ◑
adn Ⓐ
adotbelow ạ
adotmacron ǡ
ae æ
aeacute ǽ
aekorean ㅐ
aemacron ǣ
afii00208 ―
afii08941 ₤
afii10017 А
afii10018 Б
afii10019 В
afii10020 Г
afii10021 Д
afii10022 Е
afii10023 Ё
afii10024 Ж
afii10025 З
afii10026 И
afii10027 Й
afii10028 К
afii10029 Л
afii10030 М
afii10031 Н
afii10032 О
afii10033 П
afii10034 Р
afii10035 С
afii10036 Т
afii10037 У
afii10038 Ф
afii10039 Х
afii10040 Ц
afii10041 Ч
afii10042 Ш
afii10043 Щ
afii10044 Ъ
afii10045 Ы
afii10046 Ь
afii10047 Э
afii10048 Ю
afii10049 Я
afii10050 Ґ
afii10051 Ђ
afii10052 Ѓ
afii10053 Є
afii10054 Ѕ
afii10055 І
afii10056 Ї
afii10057 Ј
afii10058 Љ
afii10059 Њ
afii10060 Ћ
afii10061 Ќ
afii10062 Ў
afii10063 
afii10064 
afii10065 а
afii10066 б
afii10067 в
afii10068 г
afii10069 д
afii10070 е
afii10071 ё
afii10072 ж
afii10073 з
afii10074 и
afii10075 й
afii10076 к
afii10077 л
afii10078 м
afii10079 н
afii10080 о
afii10081 п
afii10082 р
afii10083 с
afii10084 т
afii10085 у
afii10086 ф
afii10087 х
afii10088 ц
afii10089 ч
afii10090 ш
afii10091 щ
afii10092 ъ
afii10093 ы
afii10094 ь
afii10095 э
afii10096 ю
afii10097 я
afii10098 ґ
afii10099 ђ
afii10100 ѓ
afii10101 є
afii10102 ѕ
afii10103 і
afii10104 ї
afii10105 ј
afii10106 љ
afii10107 њ
afii10108 ћ
afii10109 ќ
afii10110 ў
afii10145 Џ
afii10146 Ѣ
afii10147 Ѳ
afii10148 Ѵ
afii10192 
afii10193 џ
afii10194 ѣ
afii10195 ѳ
afii10196 ѵ
afii10831 
afii10832 
afii10846 ә
afii299 ‎
afii300 ‏
afii301 ‍
afii57381 ٪
afii57388 ،
afii57392 ٠
afii57393 ١
afii57394 ٢
afii57395 ٣
afii57396 ٤
afii57397 ٥
afii57398 ٦
afii57399 ٧
afii57400 ٨
afii57401 ٩
afii57403 ؛
afii57407 ؟
afii57409 ء
afii57410 آ
afii57411 أ
afii57412 ؤ
afii57413 إ
afii57414 ئ
afii57415 ا
afii57416 ب
afii57417 ة
afii57418 ت
afii57419 ث
afii57420 ج
afii57421 ح
afii57422 خ
afii57423 د
afii57424 ذ
afii57425 ر
afii57426 ز
afii57427 س
afii57428 ش
afii57429 ص
afii57430 ض
afii57431 ط
afii57432 ظ
afii57433 ع
afii57434 غ
afii57440 ـ
afii57441 ف
afii57442 ق
afii57443 ك
afii57444 ل
afii57445 م
afii57446 ن
afii57448 و
afii57449 ى
afii57450 ي
afii57451 ً
afii57452 ٌ
afii57453 ٍ
afii57454 َ
afii57455 ُ
afii57456 ِ
afii57457 ّ
afii57458 ْ
afii57470 ه
afii57505 ڤ
afii57506 پ
afii57507 چ
afii57508 ژ
afii57509 گ
afii57511 ٹ
afii57512 ڈ
afii57513 ڑ
afii57514 ں
afii57519 ے
afii57534 ە
afii57636 ₪
afii57645 ־
afii57658 ׃
afii57664 א
afii57665 ב
afii57666 ג
afii57667 ד
afii57668 ה
afii57669 ו
afii57670 ז
afii57671 ח
afii57672 ט
afii57673 י
afii57674 ך
afii57675 כ
afii57676 ל
afii57677 ם
afii57678 מ
afii57679 ן
afii57680 נ
afii57681 ס
afii57682 ע
afii57683 ף
afii57684 פ
afii57685 ץ
afii57686 צ
afii57687 ק
afii57688 ר
afii57689 ש
afii57690 ת
afii57694 שׁ
afii57695 שׂ
afii57700 וֹ
afii57705 ײַ
afii57716 װ
afii57717 ױ
afii57718 ײ
afii57723 וּ
afii57793 ִ
afii57794 ֵ
afii57795 ֶ
afii57796 ֻ
afii57797 ָ
afii57798 ַ
afii57799 ְ
afii57800 ֲ
afii57801 ֱ
afii57802 ֳ
afii57803 ׂ
afii57804 ׁ
afii57806 ֹ
afii57807 ּ
afii57839 ֽ
afii57841 ֿ
afii57842 ׀
afii57929 ʼ
afii61248 ℅
afii61289 ℓ
afii61352 №
afii61573 ‬
afii61574 ‭
afii61575 ‮
afii61664 ‌
afii63167 ٭
afii64937 ʽ
agrave à
agujarati અ
agurmukhi ਅ
ahiragana あ
ahookabove ả
aibengali ঐ
aibopomofo ㄞ
aideva ऐ
aiecyrillic ӕ
aigujarati ઐ
aigurmukhi ਐ
aimatragurmukhi ੈ
ainarabic ع
ainfinalarabic ﻊ
aininitialarabic ﻋ
ainmedialarabic ﻌ
ainvertedbreve ȃ
aivowelsignbengali ৈ
aivowelsigndeva ै
aivowelsigngujarati ૈ
akatakana ア
akatakanahalfwidth ｱ
akorean ㅏ
alef א
alefarabic ا
alefdageshhebrew אּ
aleffinalarabic ﺎ
alefhamzaabovearabic أ
alefhamzaabovefinalarabic ﺄ
alefhamzabelowarabic إ
alefhamzabelowfinalarabic ﺈ
alefhebrew א
alefisolated أ
aleflamedhebrew ﭏ
alefmaddaabovearabic آ
alefmaddaabovefinalarabic ﺂ
